Product Name,Article Number,Part Number
conga-QEVAL/Qseven 2.0 x86 B.5,007003-B.51,007003-B.51
conga-QEVAL/Qseven 2.0 ARM B.5,007005-B.51,007005-B.51
conga-SEVAL A.0,20070-000430-A.0,007010-A.01
conga-SEVAL/xxx C.0,007010-C.00,007010-C.00
conga-SEVAL C.0,007010-C.01,007010-C.01
conga-SEVC/DP1 as HDMI X.0,007011-X.01,007011-X.01
conga-SEVC/DP1 as Displayport X.0,007012-X.01,007012-X.01
conga-LDVI/EPI B.0,20070-A00331-B.0,011115-B.02
conga-COM Express Type6 eDP Evaladapter X.0,011116-X.02,011116-X.02
conga-PCB1 B.0,20070-000578-B.0,011122-B.01
conga-ELXeco/256-TTL A.2,20070-A00267-A.2,012247-A.21
conga-ELXeco/xxx-TTL B.0,20070-000002-B.0,012247-B.00
conga-ELXeco/256-TTL B.0,20070-A00267-B.0,012247-B.01
conga-BM45/P8400 B.3,20070-A00125-B.3,013140-B.31
013142 conga-BM45/TSS P8400/T3100 X.0,20365-A00055-A.0,013142-X.01
conga-BM45/P8400 MED1 B.7,20070-A01069-B.7,013152-B.71
013161 conga-BM45/P8400 CSA-B A.0,20365-000093-A.0,013161-A.01
013163 conga-BM45/P8400 CSA-B S-104 A.1 (Bulk-Package screw bag),20365-A00193-A.1,013163-A.11
conga-QA6/xxx com. F.0,20070-A00433-F.0,015030-F.00
conga-QA6/E640-1G F.0,20070-A00443-F.0,015031-F.01
conga-QA6/xxx ind. F.0,20070-A00470-F.0,015035-F.00
conga-QA6/E660T-1G F.0,20070-A00456-F.0,015035-F.01
conga-QA6/E640T-1G F.0,20070-A00448-F.0,015036-F.01
conga-QA6/E680T-1G F.0,20070-A00462-F.0,015038-F.01
conga-QA6/E640T-1G SSD2 F.0,20070-A00450-F.0,015039-F.01
conga-QA6/E680T-2G E.2,20070-A00468-E.2,015041-E.21
conga-QA6/E680T-2G F.0,20070-A00467-F.0,015041-F.01
conga-QA6/E680-2G F.0,20070-A00460-F.0,015042-F.01
conga-QA6/E680-1G SSD8-MLC F.0,20070-A00949-F.0,015046-F.01
conga-QA6/E640-1G SSD4-MLC F.0,20070-A00445-F.0,015047-F.01
015062 conga-QA6/CSP-B X.1,20365-A00120-A.0,015062-X.11
conga-QA6/CSP-B X.1,015062-X.13,015062-X.13
conga-QA6/CSP-B 6mm X.1,20365-A00119-A.0,015063-X.11
conga-QA30/xxx D.0 *commercial*,20070-A00397-D.0,015100-D.00
conga-QA3/E3845-2G eMMC4 D.0,015100-D.01,015100-D.01
conga-QA3/E3827-2G eMMC4 B.0,20070-A00957-B.0,015101-B.01
conga-QA3/E3827-2G eMMC4 D.0,015101-D.01,015101-D.01
conga-QA3/E3826-2G eMMC4 B.0,20070-A00405-B.0,015102-B.01
conga-QA3/E3826-2G eMMC4 D.0,20070-A00405-D.0,015102-D.01
conga-QA3/E3825-2G eMMC4 B.0,20070-A00958-B.0,015103-B.01
conga-QA3/E3825-2G eMMC4 D.0,015103-D.01,015103-D.01
conga-QA3/E3815-2G eMMC4 D.0,20070-A00402-D.0,015104-D.01
conga-QA3/E3845-4G eMMC8 B.0,20070-A00960-B.0,015105-B.01
conga-QA3/E3845-4G eMMC8 D.0,20070-A00960-D.0,015105-D.01
conga-QA3/E3815-1G D.0,20070-A00976-D.0,015106-D.01
conga-QA3/E3845-4G D.0,015107-D.01,015107-D.01
conga-QA3/E3827-4G D.0,015108-D.01,015108-D.01
conga-QA3/E3845-2G D.0,015109-D.01,015109-D.01
conga-QA3/J1900-2G D.0,20070-A00955-D.0,015111-D.01
conga-QA3/N2930-2G D.0,20070-A00977-D.0,015112-D.01
conga-QA3/N2807-2G A.6,20070-A00430-A.6,015113-A.61
conga-QA3/N2807-2G D.0,20070-A00430-D.0,015113-D.01
conga-QA30/xxx D.0 *industrial*,20070-A00396-D.0,015120-D.00
conga-QA3/i-E3845-2G eMMC4 D.0,20070-A00959-D.0,015120-D.01
conga-QA3/i-E3827-2G eMMC4 C.1,20070-A00961-C.1,015121-C.11
conga-QA3/i-E3827-2G eMMC4 D.0,015121-D.01,015121-D.01
conga-QA3/i-E3825-2G eMMC4 A.6,20070-A00419-A.6,015123-A.61
conga-QA3/i-E3825-2G eMMC4 D.0,20070-A00962-D.0,015123-D.01
conga-QA3/i-E3815-2G eMMC4 B.0,20070-A00963-B.0,015124-B.01
conga-QA3/i-E3815-2G eMMC4 C.1,20070-A00963-C.1,015124-C.11
conga-QA3/i-E3815-2G eMMC4 D.0,20070-A00963-D.0,015124-D.01
conga-QA3/i-E3845-4G eMMC8 B.0,20070-A00978-B.0,015125-B.01
conga-QA3/i-E3845-4G eMMC8 D.0,20070-A00978-D.0,015125-D.01
conga-QA3/i-E3805-2G eMMC4 B.0,20070-A00417-B.0,015126-B.01
conga-QA3/i-E3805-2G eMMC4 D.0,20070-A00417-D.0,015126-D.01
conga-QA3/E3805-2G eMMC4 D.0,20070-A01001-D.0,015130-D.01
conga-QA3/E3845-8G eMMC16 D.0,20070-A01023-D.0,015131-D.01
conga-QAF/T40R-2G A.1,20070-A00480-A.1,015300-A.11
conga-QAF/T40E-2G A.1,20070-A00475-A.1,015301-A.11
conga-QAF/T40E-2G SSD4 A.1,20070-A00477-A.1,015303-A.11
conga-QAF/T40E-4G A.1,20070-A00479-A.1,015306-A.11
015332 conga-QAF/CSP-B 6mm X.1,20365-A00151-A.0,015332-X.11
conga-QAF/CSP-B 6mm X.1,015332-X.13,015332-X.13
conga-QA5/E3950-8G eMMC32 A.1,20070-000202-A.1,015500-A.11
conga-QA5/xxx B.0 *commercial*,20070-000167-B.0,015500-B.00
conga-QA5/E3950-8G eMMC32 B.0,20070-000202-B.0,015500-B.01
conga-QA5/E3950-8G eMMC32 B.1,015500-B.11,015500-B.11
conga-QA5/E3950-8G eMMC32 B.2,015500-B.21,015500-B.21
conga-QA5/E3940-4G eMMC16 B.0,20070-000203-B.0,015501-B.01
conga-QA5/E3940-4G eMMC16 B.1,015501-B.11,015501-B.11
conga-QA5/E3940-4G eMMC16 B.2,015501-B.21,015501-B.21
conga-QA5/E3930-2G eMMC8 B.0,20070-000204-B.0,015502-B.01
conga-QA5/E3930-2G eMMC8 B.1,015502-B.11,015502-B.11
conga-QA5/E3930-2G eMMC8 B.2,015502-B.21,015502-B.21
conga-QA5/E3950-4G eMMC16 A.1,20070-000418-A.1,015503-A.11
conga-QA5/E3950-4G eMMC16 B.0,20070-000418-B.0,015503-B.01
conga-QA5/E3950-4G eMMC16 B.1,015503-B.11,015503-B.11
conga-QA5/E3950-4G eMMC16 B.2,015503-B.21,015503-B.21
conga-QA5/i-E3950-8G eMMC32 A.1,20070-000419-A.1,015510-A.11
conga-QA5/xxx B.0 *industrial*,20070-000483-B.0,015510-B.00
conga-QA5/i-E3950-8G eMMC32 B.0,20070-000419-B.0,015510-B.01
conga-QA5/i-E3950-8G eMMC32 B.1,015510-B.11,015510-B.11
conga-QA5/i-E3950-8G eMMC32 B.2,015510-B.21,015510-B.21
conga-QA5/i-E3940-4G eMMC16 A.1,20070-000205-A.1,015511-A.11
conga-QA5/i-E3940-4G eMMC16 B.0,20070-000205-B.0,015511-B.01
conga-QA5/i-E3940-4G eMMC16 B.1,015511-B.11,015511-B.11
conga-QA5/i-E3940-4G eMMC16 B.2,015511-B.21,015511-B.21
conga-QA5/i-E3930-2G eMMC8 A.1,20070-000206-A.1,015512-A.11
conga-QA5/i-E3930-2G eMMC8 B.0,20070-000206-B.0,015512-B.01
conga-QA5/i-E3930-2G eMMC8 B.1,015512-B.11,015512-B.11
conga-QA5/i-E3930-2G eMMC8 B.2,015512-B.21,015512-B.21
conga-QA5/i-E3950-8G eMMC32 eDP B.0,20070-000542-B.0,015513-B.01
conga-QA5/i-E3950-8G eMMC32 eDP B.1,015513-B.11,015513-B.11
conga-QA5/i-E3950-8G eMMC32 eDP B.2,015513-B.21,015513-B.21
conga-QA5/N3350-4G eMMC16 A.0,20070-000207-A.0,015522-A.01
conga-QA5/N3350-4G eMMC16 B.0,20070-000207-B.0,015522-B.01
conga-QA5/N3350E-4G eMMC16 B.2,015522-B.21,015522-B.21
conga-QA5/N4200-8G eMMC32 A.0,20070-000208-A.0,015523-A.01
conga-QA5/N4200-8G eMMC32 B.0,20070-000208-B.0,015523-B.01
conga-QA5/N4200E-8G eMMC32 B.2,015523-B.21,015523-B.21
conga-QA5/J3455-4G eMMC16 B.0,015524-B.01,015524-B.01
conga-QA5/J3455-4G eMMC16 B.1,015524-B.11,015524-B.11
conga-QA5/J3455-4G eMMC16 B.2,015524-B.21,015524-B.21
conga-QG/210HA-2GECC A.2,20070-A00493-A.2,015600-A.21
conga-QG/210JA-2GECC A.2,015601-A.21,015601-A.21
conga-QG/210HA-2GECC-SSD4 A.2,20070-A00494-A.2,015602-A.21
conga-QMX6/xxx com. B.4,20070-A01067-B.4,016100-B.40
conga-QMX6/SC-1G eMMC4 B.4,20070-A01073-B.4,016100-B.41
conga-QMX6/SC-1G eMMC4 B.5,016100-B.51,016100-B.51
conga-QMX6/DCL-1G eMMC4 B.4,20070-A01074-B.4,016101-B.41
conga-QMX6/DCL-1G eMMC4 B.5,016101-B.51,016101-B.51
conga-QMX6/DC-1G eMMC4 B.4,20070-A01075-B.4,016102-B.41
conga-QMX6/DC-1G eMMC4 B.5,016102-B.51,016102-B.51
conga-QMX6/QC-1G eMMC4 B.4,20070-A01076-B.4,016103-B.41
conga-QMX6/QC-1G eMMC4 B.5,016103-B.51,016103-B.51
conga-QMX6/QC-2G eMMC4 B.4,20070-A01077-B.4,016104-B.41
conga-QMX6/QC-1G eMMC8 B.3,016106-B.31,016106-B.31
conga-QMX6/QC-1G eMMC8 B.3,20070-A01078-B.3,016106-B.32
conga-QMX6/xxx ind. B.4,20070-000289-B.4,016110-B.40
conga-QMX6/iSC-1G eMMC4 B.4,20070-A01081-B.4,016110-B.41
conga-QMX6/iDCL-1G eMMC4 B.4,20070-A01080-B.4,016111-B.41
conga-QMX6/iDCL-1G eMMC4 B.5,016111-B.51,016111-B.51
conga-QMX6/iDC-1G eMMC4 B.4,20070-A01101-B.4,016112-B.41
conga-QMX6/iDC-1G eMMC4 B.5,016112-B.51,016112-B.51
conga-QMX6/iQC-1G eMMC4 B.4,20070-A01190-B.4,016113-B.41
conga-QMX6/iQC-1G eMMC4 B.5,016113-B.51,016113-B.51
conga-ACAM/JAL-2721 A.0,016153-A.02,016153-A.02
conga-ACAM/JAL-2721 36 pin B.0,016153-B.02,016153-B.02
conga-ACAM/JAL-2721 22 pin B.0,016156-B.02,016156-B.02
conga-ACC/I2S WM8904 A.0,016157-A.01,016157-A.01
conga-UMX6/DCL-1G eMMC4 X.3,20070-A00802-X.3,016201-X.31
conga-QMX6/xxx com. C.3,20070-000006-C.3,016300-C.30
conga-QMX6/SC-1G eMMC4 C.3,016300-C.31,016300-C.31
conga-QMX6/SC-1G eMMC4 C.4,016300-C.41,016300-C.41
conga-QMX6/DCL-1G eMMC4 C.3,20070-A01084-C.3,016301-C.31
conga-QMX6/DCL-1G eMMC4 C.4,016301-C.41,016301-C.41
conga-QMX6/DC-1G eMMC4 C.3,20070-A01086-C.3,016302-C.31
conga-QMX6/DC-1G eMMC4 C.4,016302-C.41,016302-C.41
conga-QMX6/QC-1G eMMC4 C.3,20070-A01088-C.3,016303-C.31
conga-QMX6/QC-1G eMMC4 C.4,016303-C.41,016303-C.41
conga-QMX6/QC-2G eMMC4 C.3,20070-A01090-C.3,016304-C.31
conga-QMX6/QC-2G eMMC4 C.4,016304-C.41,016304-C.41
conga-QMX6/QC-2G eMMC8 C.3,20070-A00561-C.3,016305-C.31
conga-QMX6/QC-2G eMMC8 C.4,016305-C.41,016305-C.41
conga-QMX6/QC-1G eMMC8 C.4,016306-C.41,016306-C.41
conga-QMX6/xxx ind. C.3,20070-000288-C.3,016310-C.30
conga-QMX6/iSC-1G eMMC4 C.4,016310-C.41,016310-C.41
conga-QMX6/iDCL-1G eMMC4 C.3,20070-A01096-C.3,016311-C.31
conga-QMX6/iDC-1G eMMC4 C.3,20070-A01103-C.3,016312-C.31
conga-QMX6/iDC-1G eMMC4 C.4,016312-C.41,016312-C.41
conga-QMX6/iQC-1G eMMC4 C.3,20070-A01094-C.3,016313-C.31
conga-QMX6/iQC-1G eMMC4 C.4,016313-C.41,016313-C.41
conga-QMX6/iQC-4G eMMC4 C.3,20070-000177-C.3,016318-C.31
conga-QMX6/iQC-4G eMMC4 C.4,016318-C.41,016318-C.41
conga-QMX8/a-QCM-6GB eMMC16 <Alpha Sample> Y.2,016490-Y.21,016490-Y.21
conga-QMX8/a-QCM-6GB eMMC16 <Alpha Sample> Y.3,016490-Y.31,016490-Y.31
conga-QMX8/xxx Y.0,016491-Y.00,016491-Y.00
conga-QMX8/QCM-4GB eMMC16 <DEV-sample> Y.3,016491-Y.31,016491-Y.31
conga-QMX8/QCM-2GB eMMC16 <DEV-sample> Y.3,016492-Y.31,016492-Y.31
conga-QMX8-X/QXP-4G eMMC16 Y.0,016500-Y.01,016500-Y.01
conga-QMX8-X/QXP-2G eMMC16 Y.0,016503-Y.01,016503-Y.01
conga-QMX8-X/QXP-4G eMMC16/HDMI Y.0,016504-Y.01,016504-Y.01
conga-QMX8-X/i-QXP-4G eMMC16 Y.0,016510-Y.01,016510-Y.01
conga-QMX8-X/i-QXP-2G eMMC16 Y.0,016513-Y.01,016513-Y.01
conga-QMX8-X/PTT-QuadXP-3G-LPDDR4 eMMC16 prototype X.0,20070-000595-X.0,016591-X.01
conga-QMX8X/xxx X.1,016591-X.10,016591-X.10
conga-QMX8-X/PTT-QuadXP-3G-LPDDR4 eMMC16 prototype X.1,016591-X.11,016591-X.11
"conga-QMX8-X/PTT-QuadXP-3G-LPDDR4 eMMC16, HDMI, GbEth1588, prototype X.0",20070-000596-X.0,016592-X.01
conga-QMX8-X/PTT-QuadXP-2G-LPDDR4 eMMC16 prototype X.0,016593-X.01,016593-X.01
conga-QMX8-X/PTT-QuadXP-4G-LPDDR4 eMMC16 prototype X.0,016594-X.01,016594-X.01
停用 conga-QMX8-X/PTT-QuadXP-2G-LPDDR4 eMMC16 prototype X.0,20070-000597-X.0,016953-X.01
停用 conga-QMX8-X/PTT-QuadXP-4G-LPDDR4 eMMC16 prototype X.0,20070-000598-X.0,016954-X.01
conga-XPT1 ETX X.1,20070-A00908-X.1,017301-X.01
conga-XPT1 ETX X.1,017301-X.11,017301-X.11
conga-QA3E/xxx X.0 (購料),20070-A00416-X.0,018104-X.00
conga-QA3E/E3845-4G eMMC8 X.1,018105-X.11,018105-X.11
conga-Interface Adapter BIM2 A.1,20070-A00115-A.1,019441-A.10
conga-Interface Adapter BIM2 A.1,20070-A00938-A.0,019441-A.12
conga-XEVAL A.2,20070-A00906-A.2,019482-A.21
conga-BIM1 Carrier Board D.3,20070-A00114-D.3,019876-D.32
conga-BIM1 Carrier Board F.0,019876-F.02,019876-F.02
conga-BIM1 Carrier Board G.0,019876-G.02,019876-G.02
conga-BIM aABI A.3,20070-A00113-A.3,019900-A.31
conga-BIM aABI C.0,019900-C.01,019900-C.01
conga-BIM aABI D.0,019900-D.01,019900-D.01
conga-MCB/Qseven ARM B.1,20070-A00370-B.1,020734-B.11
conga-MCB/Qseven ARM C.1,20070-A00370-C.1,020735-C.11
conga-MCB/Qseven ARM C.3,020735-C.31,020735-C.31
conga-MCB/SMARC-ARM Preliminary BOM X.0,020750-X.00,020750-X.00
conga-SMC1/SMARC-ARM X.0,020750-X.01,020750-X.01
conga-SMC1/SMARC-x86 X.0,020751-X.01,020751-X.01
conga-ELX/800-LVDS C.3,20070-A00256-C.3,024477-C.31
conga-SBM3/4-cell A.2,20070-A00568-A.2,025483-A.22
"LADM, LVDS Adapter - congatec to LVDS panel adapter B.0",025489-B.02,025489-B.02
conga-ELX/800-LVDS bSIE1 C.4,025577-C.42,025577-C.42
conga-BS57/xxx A.2,20070-A00184-A.2,040100-A.20
conga-BS57/i7-620LE A.2,20070-A00186-A.2,040100-A.21
conga-BS57/U3405 A.2,20070-A00189-A.2,040107-A.21
conga-BAF/T56N A.1,20070-A00105-A.1,041001-A.11
conga-BAF/T40N A.1,20070-A00100-A.1,041003-A.11
conga-BAF1/xxx A.1,20070-A00098-A.1,041005-A.10
conga-BAF/T40R A.1,20070-A00102-A.1,041006-A.11
041025 conga-BAF/CSP-B A.3,20365-A00078-A.0,041025-A.31
conga-BAF/CSP-B A.3,041025-A.33,041025-A.33
041026 conga-BAF/CSP-T A.3,20365-A00080-A.0,041026-A.31
conga-BAF/CSP-T A.3,041026-A.33,041026-A.33
041027 conga-BAF/CSA-B A.3,20365-A00368-A.3,041027-A.31
conga-BAF/CSA-B A.3,041027-A.33,041027-A.33
conga-XAF/T56N B.2,20070-A00903-B.2,041031-B.21
conga-XAF/T52R B.2,20070-000433-B.2,041034-B.21
conga-XAF/T40R B.2,20070-A00902-B.2,041036-B.21
conga-XAF/T40E B.2,20070-A00900-B.2,041037-B.21
停用 conga-XAF/HSP-B A.0,041050-A.01,041050-A.01
conga-XAF/HSP-B A.0,20365-000069-A.0,041050-A.02
conga-XAF/HSP-B A.0,041050-A.03,041050-A.03
停用 conga-XAF/HSP-T A.0,041051-A.01,041051-A.01
conga-XAF/HSP-T A.0,20365-000070-A.0,041051-A.02
conga-XAF/HSP-T A.0,041051-A.03,041051-A.03
